puid,x_coord_epsg4326,y_coord_epsg4326,species
70,111.9475926,8.117331755,"Cuke,Trout"
71,112.4906379,8.836854614,"Cuke,Trout"
72,114.1326637,8.877383398,"Cuke,Trout"
73,112.9036294,9.591467934,"Cuke,Trout"
74,113.8430641,10.07254061,"Cuke,Trout"
75,114.437357,10.08004558,"Cuke,Trout"
76,115.2624091,10.32166747,"Cuke,Trout"
77,114.5441324,11.05882786,"Cuke,Trout"
78,115.9001799,9.323914043,"Cuke,Trout"
79,116.2744754,8.907268743,"Cuke,Trout"
80,116.5739277,9.100767903,"Cuke,Trout"
81,116.4990601,9.754883924,"Cuke,Trout"
82,115.8178097,10.69651008,"Cuke,Trout"
83,116.492751,11.1934744,"Cuke,Trout"
84,117.4272625,11.6943624,"Cuke,Trout"
85,117.0107287,10.65929962,"Cuke,Trout"
86,117.7596829,10.76617676,"Cuke,Trout"
87,117.3225266,10.27424554,"Cuke,Trout"
88,116.9332425,9.457718739,"Cuke,Trout"
89,121.6178016,19.11473922,"Cuke,Trout"
90,120.7510277,18.54299333,"Cuke,Trout"
91,120.4187114,17.66619809,"Cuke,Trout"
92,120.3356324,16.61931808,"Cuke,Trout"
93,119.9026638,15.95961143,"Cuke,Trout"
94,117.7776633,15.13508466,"Cuke,Trout"
95,119.9575747,15.12346813,"Cuke,Trout"
96,120.2290078,14.71023065,"Cuke,Trout"
97,120.6099418,14.07130914,"Cuke,Trout"
98,120.9682086,13.59084801,"Cuke,Trout"
99,120.2253382,13.79323661,"Cuke,Trout"
100,120.4816585,13.3249569,"Cuke,Trout"
101,120.8109895,12.75464391,"Cuke,Trout"
102,120.4366784,12.66061718,"Cuke,Trout"
103,122.2033739,18.39718038,"Cuke,Trout"
104,122.1734198,17.78124973,"Cuke,Trout"
105,122.3798682,17.02587933,"Cuke,Trout"
106,121.9967903,16.14651429,"Cuke,Trout"
107,121.5146422,15.3264987,"Cuke,Trout"
108,122.0639487,14.8156004,"Cuke,Trout"
109,122.3424658,14.28971463,"Cuke,Trout"
110,123.422896,13.99705934,"Cuke,Trout"
111,124.1723942,13.77900676,"Cuke,Trout"
112,123.935185,13.29775835,"Cuke,Trout"
113,124.0161607,12.99413887,"Cuke,Trout"
114,120.1250229,12.03048653,"Cuke,Trout"
115,119.62817,12.23679993,"Cuke,Trout"
116,119.4416033,11.83280921,"Cuke,Trout"
117,118.9701184,11.20626177,"Cuke,Trout"
118,119.3102723,11.06236198,"Cuke,Trout"
119,119.7736451,11.0353825,"Cuke,Trout"
120,118.2563906,9.047920376,"Cuke,Trout"
121,117.9865537,9.563431782,"Cuke,Trout"
122,118.3468921,7.784940153,"Cuke,Trout"
123,116.2309094,6.678491931,"Cuke,Trout"
124,116.5364633,6.652597985,"Cuke,Trout"
125,116.7664164,6.958356068,"Cuke,Trout"
